UID,Gender,Age,COY,YOE,TaskID,TaskSet,Complexity,CAT,CA,UA,Duration
6db0dc15,1,25-35,Graduate,4,1,1,L-1,Concatenation,2,2,10.641
6db0dc15,1,25-35,Graduate,4,2,1,L-1,Interpolation,1,1,6.109
6db0dc15,1,25-35,Graduate,4,3,2,L-2,Concatenation,1,1,12.614
6db0dc15,1,25-35,Graduate,4,4,2,L-2,Interpolation,2,2,17.908
6db0dc15,1,25-35,Graduate,4,5,3,L-2,Concatenation,3,3,24.396
6db0dc15,1,25-35,Graduate,4,6,3,L-2,Interpolation,4,3,20.856
6db0dc15,1,25-35,Graduate,4,7,4,L-4,Concatenation,4,4,47.484
6db0dc15,1,25-35,Graduate,4,8,4,L-4,Interpolation,1,2,40.328
6db0dc15,1,25-35,Graduate,4,9,5,L-3,Concatenation,3,3,32.524
6db0dc15,1,25-35,Graduate,4,10,5,L-3,Interpolation,2,2,35.819
6db0dc15,1,25-35,Graduate,4,11,6,L-4,Concatenation,3,3,49.669
6db0dc15,1,25-35,Graduate,4,12,6,L-4,Interpolation,1,3,48.495
6db0dc15,1,25-35,Graduate,4,13,7,L-2,Concatenation,4,4,20.115
6db0dc15,1,25-35,Graduate,4,14,7,L-2,Interpolation,2,3,17.693
6db0dc15,1,25-35,Graduate,4,15,8,L-3,Concatenation,1,1,32.966
6db0dc15,1,25-35,Graduate,4,16,8,L-3,Interpolation,3,3,27.763
e885134d,1,18-24,Senior,4,1,1,L-1,Concatenation,2,2,7.507
e885134d,1,18-24,Senior,4,2,1,L-1,Interpolation,1,1,5.171
e885134d,1,18-24,Senior,4,3,2,L-2,Concatenation,1,2,15.899
e885134d,1,18-24,Senior,4,4,2,L-2,Interpolation,2,2,13.792
e885134d,1,18-24,Senior,4,5,3,L-2,Concatenation,3,3,23.737
e885134d,1,18-24,Senior,4,6,3,L-2,Interpolation,4,3,11.684
e885134d,1,18-24,Senior,4,7,4,L-4,Concatenation,4,4,32.305
e885134d,1,18-24,Senior,4,8,4,L-4,Interpolation,1,2,22.076
e885134d,1,18-24,Senior,4,9,5,L-3,Concatenation,3,3,33.304
e885134d,1,18-24,Senior,4,10,5,L-3,Interpolation,2,2,10.531
e885134d,1,18-24,Senior,4,11,6,L-4,Concatenation,3,3,19.289
e885134d,1,18-24,Senior,4,12,6,L-4,Interpolation,1,1,15.303
e885134d,1,18-24,Senior,4,13,7,L-2,Concatenation,4,4,23.571
e885134d,1,18-24,Senior,4,14,7,L-2,Interpolation,2,2,15.596
e885134d,1,18-24,Senior,4,15,8,L-3,Concatenation,1,1,22.547
